ID;DESCRIPTION;Attribut1;Additional Feature;Application;Characteristic;Temp;Height;Length in mm;Rating;Material;Size;Code;Joule-integral-Nom (J);LC Risk;Maximum AC Voltage Rating;Maximum DC Voltage Rating;Maximum Power Dissipation;Mounting;Mounting Feature;Number of Terminals;Operating Temperature-Max (Cel);Operating Temperature-Min (Cel);Physical Dimension;Pre-arcing time-Min (ms);Product Diameter;Product Length;Rated Breaking Capacity (A);Rated Current (A);Rated Voltage (V);Rated Voltage(AC) (V);Rated Voltage(DC) (V)
A1;Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Primary Protection In Equipment;VERY FAST;;20mm;5.2mm;1.6A;Ceramic;5 X 20mm;;0.755J;Low;250V;;4W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;3ms;5.2mm;20mm;1500A;1.6A;250V;250V;
A2;Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;;;Primary Protection In Equipment;VERY FAST;;20mm;5.2mm;;Ceramic;5 X 20mm;e2;36.7J;Low;;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;3ms;5.2mm;20mm;1500A;6.3A;250V;250V;
A3;Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;Fast;;Primary Protection In Equipment;VERY FAST;;20mm;5.2mm;8A;Ceramic;5 X 20mm;e2;81.9J;Low;250V;;4W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;8A;250V;250V;
A4;Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm;;;Primary Protection In Equipment;VERY FAST;;20mm;5.2mm;;Ceramic;5 X 20mm;e2;141J;Low;;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;10A;250V;250V;
A5;Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm;Fast;;Primary Protection In Equipment;VERY FAST;;20mm;5.2mm;12.5A;Ceramic;5 X 20mm;;203J;Low;250V;;6.9(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;500A;12.5A;250V;250V;
A6;Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm;Fast;;Primary Protection In Equipment;VERY FAST;;20mm;5.2mm;12.5A;Ceramic;5 X 20mm;;203J;Low;250V;;6.9(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;500A;12.5A;250V;250V;
A7;Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder;Fast;;Industrial Electronic;VERY FAST;;31.8mm;6.35mm;20A;Glass;6.3 X 32mm;;846J;Low;250V;;11.5(Typ)W;Holder;INLINE/HOLDER;2;85Cel;-40Cel;6.35mm  x  31.8mm;20ms;6.35mm;31.8mm;1000A;20A;250V;250V;
A8;;Slow Blow;;Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply;;;;;1.25A;Ceramic;5 X 20mm;;;;;;5.4W;;;;;;;;;;;;;;
A9;Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Box CCC/CSA/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply;TIME LAG;;20mm;5.2mm;1A;Ceramic;5x20mm;;1.1J;Low;250V;300V;2.5W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;1A;250V;250V;300V
A10;Non Resettable Indicators Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm;;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply;TIME LAG;;20mm;5.2mm;;Ceramic;5x20mm;;9.2J;Low;;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;2A;250V;250V;300V
