ID;UKL;GJAH;ZIK;HUI;ERZ;CDx;BJZHD;NKJUD;LPI;BJKG
0;160;oooo;x;oooo;www;5.0;vvvv;80.0;800000.0;qqqq
1;153;rrr;;uuu;pppp;0.0;mmm;200.0;2000000.0;qqqq
2;5;oooo;x;oooo;www;19.0;hh;96.0;960000.0;hh
3;9;oooo;;oooo;www;120.0;kkk;0.0;0.0;qqq
4;40;oooo;y;oooo;www;0.0;mmm;232.0;2320000.0;qqqq
5;8;rrr;y;oooo;pppp;0.0;kkk;160.0;1600000.0;hhhh
6;152;oooo;;oooo;www;1.0;lll;276.0;2760000.0;lll
7;176;rrr;;oooo;pppp;204.0;vvvv;280.0;2800000.0;hhhh
8;154;oooo;;oooo;www;140.0;vvvv;220.0;2200000.0;qqqq
9;95;oooo;;oooo;www;13.0;vvvv;320.0;3200000.0;hhhh
10;121;oooo;y;oooo;www;1.0;sss;280.0;2800000.0;hhhh
11;155;rrr;y;oooo;pppp;20.0;lll;160.0;1600000.0;lll
12;91;rrr;y;oooo;pppp;0.0;sss;340.0;3400000.0;hhhh
13;91;oooo;;oooo;www;1.0;yyy;120.0;1200000.0;qqqq
14;91;oooo;x;oooo;www;1.0;yyy;120.0;1200000.0;hhhh
15;19;rrr;;oooo;pppp;1.0;hh;120.0;1200000.0;hh
16;125;oooo;y;oooo;www;0.0;kkk;178.0;1780000.0;yy
17;128;oooo;y;oooo;www;0.0;vvvv;120.0;1200000.0;qqqq
18;37;oooo;x;oooo;www;21.0;vvvv;416.0;4160000.0;hhhh
19;31;oooo;y;oooo;www;0.0;kkk;180.0;1800000.0;yy
20;25;oooo;y;oooo;www;0.0;yyy;292.0;2920000.0;hhhh
21;164;oooo;;uuu;www;0.0;ooo;288.0;2880000.0;qqqq
22;78;rrr;;oooo;pppp;18.0;mmm;;;qqqq
23;131;rrr;;oooo;pppp;0.0;vvvv;80.0;800000.0;qqqq
24;27;rrr;y;oooo;pppp;456.0;kkk;200.0;2000000.0;yy
25;154;oooo;y;oooo;www;18.0;vvvv;120.0;1200000.0;qqqq
26;50;oooo;;uuu;www;0.0;mmm;240.0;2400000.0;hhhh
27;10;oooo;;oooo;www;33.0;yyy;0.0;0.0;hhhh
28;40;oooo;;oooo;www;0.0;yyy;300.0;3000000.0;qqqq
29;155;oooo;;oooo;www;40.0;mmm;160.0;1600000.0;qqqq
30;163;oooo;;oooo;www;0.0;ee;980.0;9800000.0;qqqq
31;171;oooo;;oooo;www;9.0;kkk;400.0;4000000.0;qqqq
32;12;oooo;y;oooo;www;27.0;lll;100.0;1000000.0;lll
33;12;oooo;;oooo;www;3.0;yyy;100.0;1000000.0;qqqq
34;8;oooo;x;oooo;www;98.0;sss;108.0;1080000.0;qqqq
35;22;rrr;y;oooo;pppp;0.0;ee;188.0;1880000.0;qqqq
36;152;oooo;;oooo;www;0.0;kkk;221.0;2210000.0;qqqq
37;174;oooo;y;oooo;www;0.0;ee;100.0;1000000.0;qqqq
