POUG;TRE;ID;ZUB;VOL;UIO;VBNM;Type;OIN
1;1.75;0;t;f;uuuu;t;n;17.92
0;0.29;1;f;f;wwww;f;n;16.92
1;0;2;f;f;wwww;t;n;31.25
0;0.335;3;f;f;uuuu;f;n;48.17
0;0.5;4;t;f;wwww;f;n;32.33
0;0.5;5;t;f;uuuu;f;n;34.83
0;0;6;t;f;uuuu;f;n;26.17
0;0.25;7;f;f;wwww;f;n;21.17
0;0.29;8;f;f;wwww;f;n;28.92
0;1.085;9;f;f;wwww;f;n;18.17
0;1.5;10;f;f;uuuu;f;n;24.75
0;0;11;f;f;uuuu;f;n;31.75
0;0.165;12;f;f;uuuu;f;n;18.17
1;1;13;f;f;uuuu;t;n;18.25
1;0.165;14;f;f;wwww;t;n;17.58
0;1.5;15;f;f;wwww;f;n;51.83
0;0;16;t;f;wwww;f;n;26.67
0;0.5;17;f;t;wwww;f;n;31.42
1;2.29;18;t;f;wwww;t;n;25.67
0;0;19;f;f;wwww;f;n;33.75
0;5.75;20;t;f;wwww;f;n;32.75
0;0.25;21;f;t;wwww;f;n;39.83
2;0.165;22;f;f;uuuu;t;n;40.33
0;4;23;f;t;wwww;f;n;35.25
0;4.5;24;f;f;uuuu;f;n;24.33
0;1;25;f;f;uuuu;f;n;15.75
0;1;26;t;f;uuuu;f;n;45
3;0.04;27;f;f;uuuu;t;n;30.42
0;3;28;t;t;uuuu;f;n;
0;0.04;29;t;f;wwww;f;n;17.25
0;13.5;30;t;t;uuuu;f;n;38.58
1;1.585;31;t;f;wwww;t;n;22.67
0;0;32;t;t;uuuu;f;n;49
1;2.25;33;t;f;wwww;t;n;27.83
1;0.25;34;f;f;uuuu;t;n;16.5
0;4;35;f;t;wwww;f;n;25.67
0;0.25;36;t;f;wwww;f;n;36.67
0;1.165;37;f;f;wwww;f;n;26.17
0;8.5;38;f;t;wwww;f;n;
1;2.75;39;f;t;uuuu;t;y;47.25
0;0.375;40;f;f;uuuu;f;y;33.67
1;14;41;t;t;wwww;t;y;45
0;6.5;42;t;t;wwww;f;y;33.17
0;1.04;43;t;t;uuuu;f;y;25
5;1;44;t;t;wwww;t;y;26.67
0;0.125;45;t;t;wwww;f;y;48.5
0;0.04;46;t;t;wwww;f;y;37.42
0;0.21;47;f;f;wwww;f;y;18
15;0;48;f;t;uuuu;t;y;56.5
5;1.46;49;t;t;wwww;t;y;25.75
5;0.415;50;t;t;uuuu;t;y;22.58
1;2.04;51;t;t;wwww;t;y;33.17
0;0.04;52;t;t;wwww;f;y;32
0;1.75;53;f;t;uuuu;f;y;40.83
0;0.125;54;t;t;wwww;f;y;59.67
0;3.165;55;t;t;wwww;f;y;42.5
0;0;56;f;t;uuuu;f;y;28.08
0;0.125;57;t;t;uuuu;f;y;37.75
5;8.665;58;f;t;wwww;t;y;53.92
